,"header","content"
1,"行政法","『個人情報保護法の法律相談』三宅 弘 ほか著（青林書院）"
2,"民法","『民法(全)』潮見佳男 著（有斐閣）"
3,"担保物権法","『担保物権法 第4版』道垣内 弘人 著（有斐閣）"
4,"債権法","『詳説改正債権法』債権法研究会 編（金融財政事情研究会）"
5,"民事特別法（建築・不動産関係）","『Ｑ＆Ａ借地借家の法律と実務 第3版』安達敏男 監修（日本加除出版）"
6,"民事特別法（建築・不動産関係）","『不動産登記実務の視点 Ⅵ』登記研究編集室 編（テイハン）"
7,"会社法","『会社分割の法務』対木和夫 編著（中央経済社）"
8,"会社法","『会社法訴訟』井上愛朗 ほか著（中央経済社）"
9,"会社法","『新しい役員責任の実務 第3版』澤口 実 著（商事法務）"
10,"民暴関係","『不当要求等対処ハンドブック』篠崎・進士法律事務所 編（立花書房）"
11,"犯罪学","『犯罪被害者支援実務ハンドブック』第一東京弁護士会犯罪被害者に関する委員会 編著（東京法令出版）"
12,"刑事特別法","『改訂ストーカー』長谷川 京子 ほか著（日本加除出版）"
13,"破産法","『倒産債権の届出・調査・確定・弁済・配当マニュアル』縣 俊介ほか編（三協法規出版）"
14,"破産法","『破産管財人の債権調査・配当』岡 伸浩 著（商事法務）"
15,"民事再生法","『進め方がよくわかる私的整理手続と実務』多比羅 誠 編著（第一法規）"
16,"人事訴訟","『人事訴訟の要件事実と手続』岩井 俊 著（日本加除出版）"
17,"刑事訴訟法","『裁判例コンメンタール刑事訴訟法 第2巻』井上正仁 監修（立花書房）"
18,"刑事訴訟法","『実践！弁護側立証』大阪弁護側立証研究会 編（成文堂）※寄贈"
19,"経済産業法","『消費者契約訴訟』荒井正児 ほか著（中央経済社）"
20,"経済産業法","『システム開発訴訟』飯田 耕一郎 著（中央経済社）"
21,"交通事故関係","『必携自動車事故・危険運転重要判例要旨集 第2版』自動車事故判例研究会 編著（立花書房）"
22,"労働法","『解雇ルールと紛争解決　』菅野和夫 ほか編（労働政策研究・研修機構）"
23,"労働法","『講座労働法の再生 第6巻』日本労働法学会 編（日本評論社）"
24,"税法","『新実務家のための税務相談 会社法編・民法編』三木義一 監修（有斐閣）"
25,"その他","『家事事件手続法下における書記官事務の運用に関する実証的研究』裁判所職員総合研修所 監修（司法協会）"
