name,ruby,post,period,before_post,after_before_post,greet,photo
和田　真,わだ　まこと,第1刑事部,37,函館地家裁,京都地裁,よろしくお願いいたします。,
増田　耕兒,ますだ　こうじ,第3刑事部,34,松江地家裁,神戸地裁,よろしくお願いします。,
村山　浩昭,むらやま　ひろあき,第6刑事部,35,名古屋高裁,盛岡地家裁,大阪は初任地。よろしくお願いします。,
,,,,,,,
小野　憲一,おの　けんいち,所長,36,大阪家裁,大阪地裁,引き続きよろしくお願いいたします。,
久保　晃司,くぼ　こうじ,第3刑事部,65,熊本地裁,,よろしくお願いいたします。,
白井　知志,しらい　さとし,堺支部第1刑事部,65,長崎地裁（1年米国留学）,,自転車で淡路島、琵琶湖を一周したいです。,
,,,,,,,
中川　博之,なかがわ　ひろゆき,所長,33,大阪高裁,奈良地家裁,奈良地家裁引き続きよろしくお願いいたします。,
牧　真千子,まき　　まちこ,大阪家裁家事第3部,39,神戸家裁,大阪高裁,8年ぶりに大阪家裁に戻ってまいりました。,
髙木　晶大,たかき　あきひろ,大阪家庭裁判所　堺支部,新64,高知地裁,千葉地裁,大阪は修習を過ごした思い出深い地です。,
,,,,,,,
田辺　泰弘,たなべ　やすひろ,次席検事,39,大阪地検（次席検事）,那覇地検（検事正）,地検次席に引き続き、宜しくお願いします。,
中澤　康夫,なかざわ　やすお,公安部長,44,広島高検（刑事部長）,高松高検（公安部長、刑事部長）,初めての大阪勤務です。宜しくお願いします。,
藤田　信宏,ふじた　のぶひろ,刑事部,43,福岡高検（総務部長）,神戸地検（交通部長）,久しぶりの大阪を楽しみたいと思います。,
大口　康郎,おおぐち　やすお,刑事部,49,大阪地検,京都地検,初めての高検勤務です。,
,,,,,,,
畝本　毅,うねもと　つよし,次席検事,41,金沢地検検事正,司法研修所教官,3回目の大阪勤務となります。,
畑中　良彦,はたなか　よしひこ,交通部長,46,東京高検,千葉地検刑事部長,登山や自転車を趣味にしております。,
山上　富蔵,やまがみ　とみぞう,堺支部副支部長,48,大阪高検,千葉地検刑事部副部長,4年振りの堺支部で、とても懐かしいです。,
森田　昌稔,もりた　まさとし,堺支部副支部長,49,東京地検,千葉地検,十年振りの大阪勤務です。,
山口　智子,やまぐち　ともこ,堺支部検事,53,名古屋地検,横浜地検,コメントなし,
