"nomber","header","content"
1,"行政法","『逐条地方自治法 新版 第9次改訂版』松本英昭 著（学陽書房）"
2,"債権法","『新債権法下の債権管理回収実務Ｑ＆Ａ』増本善丈 ほか著（金融財政事情研究会）"
3,"親族法","『親権・監護権をめぐる法律と実務 改訂増補』渋谷元宏 ほか著（清文社）"
4,"親族法","『設題解説戸籍実務の処理15 改訂』木村三男 編著（日本加除出版）"
5,"親族法","『渉外戸籍のための各国法律と要件6 全訂新版』木村三男 監修（日本加除出版）"
6,"相続法","『家庭裁判所における遺産分割・遺留分の実務 第3版』片岡 武 ほか編著（日本加除出版）"
7,"会社法","『取締役・取締役会制度』近藤光男 著（中央経済社）"
8,"会社法","『株式会社法 第7版』江頭 憲治郎 著（有斐閣）"
9,"会社法","『企業の価値を向上させる実効的な内部通報制度』山口利昭 著（経済産業調査会）※寄贈"
10,"行刑","『逐条解説刑事収容施設法 第3版』林 眞琴 ほか著（有斐閣）"
11,"司法,訴訟手続法","『最新裁判実務大系6 建築訴訟』齋藤繁道 編著（青林書院）"
12,"司法制度","『実践！法律事務所経営マニュアル』松本常広 著（ぎょうせい）"
13,"民事訴訟法","『判例にみる債務不存在確認の実務』中里和伸 ほか共著（新日本法規）"
14,"民事再生法","『民事再生の実務』森 純子 ほか著（商事法務）"
15,"破産法","『実践フォーラム破産実務』野村剛司 編著（青林書院）※寄贈"
16,"刑事訴訟法","『Ｑ＆Ａでわかる日本版「司法取引」への企業対応』山口幹生 ほか著（同文舘出版）"
17,"農林水産業","『設例農地民法解説』宮﨑直己 著（大成出版社）"
18,"交通事故関係","『実務交通事故訴訟大系 第1巻～第3巻』藤村和夫 ほか編（ぎょうせい）"
19,"交通事故関係","『交通事故損害賠償必携 資料編 2018年』宮原守男 編集代表（新日本法規）"
20,"労働法","『Ｑ＆Ａ有期契約労働者の無期転換ルール』別城 信太郎 編著（新日本法規）"
21,"労働法","『女性社員の労務相談ハンドブック』山浦美紀 ほか共著（新日本法規）"
22,"社会厚生法","『実例弁護士が悩む高齢者に関する法律相談』 第一東京弁護士会法律相談運営委員会 編著（日本加除出版）"
23,"社会厚生法","『心の問題と家族の法律相談』森 公任 ほか著（日本加除出版）"
24,"社会厚生法","『合理的配慮義務の横断的検討』九州弁護士会連合会,大分県弁護士会 編（現代人文社）※寄贈"
25,"書式集","『主文例からみた請求の趣旨記載例集』佐野総合 編（日本加除出版）"
26,"その他","『AIビジネスの法律実務』人工知能法務研究会 編（日本加除出版）"
27,"その他","『新米国特許法(AIA) 対訳付き 2017年版』服部健一 著（発明推進協会）"
28,"その他","『衆議のかたち2』藤倉 皓一郎 ほか編（羽鳥書店）"
